,key,Computational accuracy,Mutation score
0,PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,1.0,0.8
1,PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,1.0,0.8
2,FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D,0.8,0.8
3,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_2,1.0,0.6
4,MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,1.0,0.5
5,MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,1.0,0.2
6,NUMBER_SUBSTRINGS_STRING,1.0,
7,MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,1.0,
8,LARGEST_SUM_CONTIGUOUS_SUBARRAY_2,1.0,1.0
9,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
10,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
11,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
12,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
13,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0,1.0
14,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0,1.0
15,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0,1.0
16,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_1,0.0,1.0
17,LEONARDO_NUMBER_1,1.0,1.0
18,EFFICIENT_SEARCH_IN_AN_ARRAY_WHERE_DIFFERENCE_BETWEEN_ADJACENT_IS_1,1.0,0.5
19,COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4,0.0,1.0
20,FIND_THE_MAXIMUM_SUBARRAY_XOR_IN_A_GIVEN_ARRAY,1.0,
21,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,1.0,0.1
22,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,1.0,0.0
23,NEXT_POWER_OF_2_1,1.0,0.0
24,NEXT_POWER_OF_2_1,1.0,1.0
25,COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0,1.0
26,COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0,1.0
27,LOWER_INSERTION_POINT,1.0,0.1
28,LOWER_INSERTION_POINT,1.0,0.1
29,LOWER_INSERTION_POINT,1.0,0.8
30,MAXIMUM_SUM_2_X_N_GRID_NO_TWO_ELEMENTS_ADJACENT,1.0,
31,SMALLEST_POWER_OF_2_GREATER_THAN_OR_EQUAL_TO_N_2,1.0,
32,MAXIMUM_NUMBER_SEGMENTS_LENGTHS_B_C,0.4,
33,COUNT_NUMBER_WAYS_TILE_FLOOR_SIZE_N_X_M_USING_1_X_M_SIZE_TILES,1.0,1.0
34,COUNT_NUMBER_OF_STRINGS_MADE_OF_R_G_AND_B_USING_GIVEN_COMBINATION,1.0,0.1
35,COUNT_NUMBER_OF_STRINGS_MADE_OF_R_G_AND_B_USING_GIVEN_COMBINATION,1.0,0.1
36,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_1,1.0,1.0
37,ODD_EVEN_SORT_BRICK_SORT,0.5,0.5
38,SUM_MANHATTAN_DISTANCES_PAIRS_POINTS,1.0,0.9
39,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM_1,0.8,0.2
40,MULTIPLY_LARGE_INTEGERS_UNDER_LARGE_MODULO,1.0,1.0
41,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,0.0,1.0
42,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,0.0,1.0
43,DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,0.5,1.0
44,POLICEMEN_CATCH_THIEVES,0.9,1.0
45,CHECK_TWO_GIVEN_CIRCLES_TOUCH_INTERSECT,1.0,1.0
46,SWAP_ALL_ODD_AND_EVEN_BITS,1.0,
47,CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,1.0,0.6
48,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM,0.0,1.0
49,WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0,1.0
50,WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0,1.0
51,FRIENDS_PAIRING_PROBLEM,1.0,1.0
