,key,computational accuracy
0,PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,1.0
1,FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D,0.8
2,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_2,1.0
3,MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,1.0
4,NUMBER_SUBSTRINGS_STRING,1.0
5,MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,1.0
6,LARGEST_SUM_CONTIGUOUS_SUBARRAY_2,1.0
7,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6
8,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0
9,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_1,0.0
10,LEONARDO_NUMBER_1,1.0
11,EFFICIENT_SEARCH_IN_AN_ARRAY_WHERE_DIFFERENCE_BETWEEN_ADJACENT_IS_1,1.0
12,COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4,0.0
13,FIND_THE_MAXIMUM_SUBARRAY_XOR_IN_A_GIVEN_ARRAY,1.0
14,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,1.0
15,NEXT_POWER_OF_2_1,1.0
16,COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0
17,LOWER_INSERTION_POINT,1.0
18,MAXIMUM_SUM_2_X_N_GRID_NO_TWO_ELEMENTS_ADJACENT,1.0
19,SMALLEST_POWER_OF_2_GREATER_THAN_OR_EQUAL_TO_N_2,1.0
20,MAXIMUM_NUMBER_SEGMENTS_LENGTHS_B_C,0.4
21,COUNT_NUMBER_WAYS_TILE_FLOOR_SIZE_N_X_M_USING_1_X_M_SIZE_TILES,1.0
22,COUNT_NUMBER_OF_STRINGS_MADE_OF_R_G_AND_B_USING_GIVEN_COMBINATION,1.0
23,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_1,1.0
24,THIRD_LARGEST_ELEMENT_ARRAY_DISTINCT_ELEMENTS,1.0
25,ODD_EVEN_SORT_BRICK_SORT,0.5
26,SUM_MANHATTAN_DISTANCES_PAIRS_POINTS,1.0
27,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM_1,0.8
28,MULTIPLY_LARGE_INTEGERS_UNDER_LARGE_MODULO,1.0
29,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,0.0
30,DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,0.5
31,POLICEMEN_CATCH_THIEVES,0.9
32,EFFICIENTLY_COMPUTE_SUMS_OF_DIAGONALS_OF_A_MATRIX_1,1.0
33,CHECK_TWO_GIVEN_CIRCLES_TOUCH_INTERSECT,1.0
34,SWAP_ALL_ODD_AND_EVEN_BITS,1.0
35,CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,1.0
36,LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S,1.0
37,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM,0.0
