,key,Mutation score
0,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM_1,0.2
1,SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS_1,0.9
2,FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,0.9
3,PRIME_NUMBERS,0.8
4,DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT,0.2
5,K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1,0.4
6,CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,1.0
7,NUMBER_JUMP_REQUIRED_GIVEN_LENGTH_REACH_POINT_FORM_D_0_ORIGIN_2D_PLANE,0.4
8,K_TH_PRIME_FACTOR_GIVEN_NUMBER,0.2
9,DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS,1.0
10,COUNT_PAIRS_DIFFERENCE_EQUAL_K_1,1.0
11,SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING,1.0
12,TRIANGULAR_NUMBERS_1,0.0
13,PROGRAM_PRINT_IDENTITY_MATRIX_1,0.7272727272727273
14,BREAK_NUMBER_THREE_PARTS,1.0
15,ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,1.0
16,PROGRAM_BINARY_DECIMAL_CONVERSION,1.0
17,POSSIBLE_FORM_TRIANGLE_ARRAY_VALUES,1.0
18,CHECK_IF_STRING_REMAINS_PALINDROME_AFTER_REMOVING_GIVEN_NUMBER_OF_CHARACTERS,0.4
19,GNOME_SORT_A_STUPID_ONE,1.0
20,MAXIMUM_VALUE_CHOICE_EITHER_DIVIDING_CONSIDERING,1.0
21,WRITE_A_C_PROGRAM_TO_FIND_THE_PARITY_OF_AN_UNSIGNED_INTEGER,0.5
22,STRING_CONTAINING_FIRST_LETTER_EVERY_WORD_GIVEN_STRING_SPACES,1.0
23,MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,1.0
24,SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,0.9
25,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.4
26,LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,1.0
27,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,1.0
28,HIGHWAY_BILLBOARD_PROBLEM,0.0
29,FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,0.3
30,INTEGER_POSITIVE_VALUE_POSITIVE_NEGATIVE_VALUE_ARRAY,1.0
31,FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D,0.8
32,COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY,0.6
33,SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS,1.0
34,SUBSEQUENCES_SIZE_THREE_ARRAY_WHOSE_SUM_DIVISIBLE_M_1,0.8
35,NUMBER_SUBSEQUENCES_FORM_AI_BJ_CK,0.4
36,LARGEST_SUBSEQUENCE_GCD_GREATER_1,0.7
37,LENGTH_OF_THE_LONGEST_ARITHMATIC_PROGRESSION_IN_A_SORTED_ARRAY,0.7
38,FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,0.1
39,SEARCH_INSERT_AND_DELETE_IN_AN_UNSORTED_ARRAY,0.4
40,PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,0.8
41,FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME,1.0
42,FREQUENT_ELEMENT_ARRAY,0.5
